experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
metadata,snapshot,rpc,0,,,,30,30,0,0.440417,0.725000,0.759791,0.478265,2090.889867,0.000000
metadata,list_root,rpc,0,,,,30,30,0,0.409084,0.569708,0.597292,0.401908,2488.128930,0.000000
metadata,mkdir_growing_log,rpc,5,,,,30,30,0,0.682417,0.972084,0.987416,0.732518,1365.154167,0.000000
metadata,snapshot,rpc,100,,,,30,30,0,0.536125,0.789875,0.839375,0.575315,1738.177208,0.000000
metadata,list_root,rpc,100,,,,30,30,0,0.525125,0.775250,0.804250,0.565851,1767.248537,0.000000
metadata,read_empty_file,rpc,100,,,,30,30,0,1.074083,1.362250,1.413167,1.126717,887.534629,0.000000
metadata,mkdir_growing_log,rpc,105,,,,30,30,0,0.903333,1.230083,1.248000,0.957207,1044.706145,0.000000
metadata,snapshot,rpc,1000,,,,30,30,0,2.574792,2.731083,2.738083,2.589453,386.181991,0.000000
metadata,list_root,rpc,1000,,,,30,30,0,2.649416,2.812958,2.826042,2.673718,374.011035,0.000000
metadata,read_empty_file,rpc,1000,,,,30,30,0,5.055625,5.261292,5.350250,4.991971,200.321681,0.000000
metadata,mkdir_growing_log,rpc,1005,,,,30,30,0,3.492416,3.579416,3.590834,3.411075,293.162713,0.000000
metadata,snapshot,rpc,5000,,,,30,30,0,11.402916,12.230458,12.255500,11.489742,87.034159,0.000000
metadata,list_root,rpc,5000,,,,30,30,0,12.593292,12.971000,13.643000,12.613154,79.282310,0.000000
metadata,read_empty_file,rpc,5000,,,,30,30,0,24.277958,24.579875,24.683958,24.296068,41.158923,0.000000
metadata,mkdir_growing_log,rpc,5005,,,,30,30,0,12.706125,12.969042,12.971458,12.730863,78.549273,0.000000
metadata,snapshot,rpc,10000,,,,30,30,0,23.853709,24.160959,24.333084,23.563797,42.437982,0.000000
metadata,list_root,rpc,10000,,,,30,30,0,25.068500,25.628583,25.636541,25.021508,39.965616,0.000000
metadata,read_empty_file,rpc,10000,,,,30,30,0,48.126458,48.692375,48.880083,48.080853,20.798300,0.000000
metadata,mkdir_growing_log,rpc,10005,,,,30,30,0,24.510209,24.835500,25.689083,24.518967,40.784753,0.000000
file,write,rpc,,4096,65536,,30,30,0,1.100375,1.549875,1.576959,1.230861,812.439356,3.173591
file,read,rpc,,4096,65536,,30,30,0,25.291417,25.958791,26.037334,24.879840,40.193184,0.157005
file,write,rpc,,65536,65536,,30,30,0,1.250375,1.662792,1.714750,1.369843,730.010648,45.625665
file,read,rpc,,65536,65536,,30,30,0,64.521084,66.355166,66.696208,64.357342,15.538243,0.971140
file,write,rpc,,1048576,65536,,30,30,0,8.937083,9.318042,9.524500,8.951654,111.711197,111.711197
file,read,rpc,,1048576,65536,,30,30,0,567.398875,593.508500,595.325709,568.537107,1.758900,1.758900
file,write,rpc,,4096,1048576,,30,30,0,1.323666,1.515792,2.151458,1.285476,777.921771,3.038757
file,read,rpc,,4096,1048576,,30,30,0,26.033333,26.440250,30.693333,25.807124,38.748991,0.151363
file,write,rpc,,65536,1048576,,30,30,0,1.258333,1.669167,1.717709,1.363548,733.380605,45.836288
file,read,rpc,,65536,1048576,,30,30,0,80.437917,84.316334,88.156333,80.385803,12.440008,0.777500
file,write,rpc,,1048576,1048576,,30,30,0,5.956750,6.145958,6.268500,5.895869,169.610271,169.610271
file,read,rpc,,1048576,1048576,,30,30,0,354.956042,393.082084,406.018875,360.066999,2.777261,2.777261
concurrency,create_and_write_distinct,rpc,,4096,65536,1,30,30,0,2.470166,2.663042,2.737541,2.443636,408.035581,1.593889
concurrency,create_and_write_distinct,rpc,,4096,65536,2,60,60,0,3.619125,4.743833,5.141041,3.609702,530.759339,2.073279
concurrency,create_and_write_distinct,rpc,,4096,65536,4,120,120,0,7.610291,11.677417,12.509875,7.727265,466.805741,1.823460
concurrency,create_and_write_distinct,rpc,,4096,65536,8,240,240,0,17.733500,33.774959,38.073750,19.370250,362.463528,1.415873
concurrency,create_and_write_distinct,rpc,,4096,65536,16,480,480,0,47.826791,76.941333,83.259958,47.633326,291.163580,1.137358
