experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
filesystem,write,native,,4096,,,30,30,0,0.037042,0.063459,0.072125,0.039564,25275.481687,98.732350
filesystem,read,native,,4096,,,30,30,0,0.011041,0.013791,0.014500,0.011428,87506.417137,341.821942
filesystem,write,native,,65536,,,30,30,0,0.048042,0.071375,0.313750,0.057895,17272.787989,1079.549249
filesystem,read,native,,65536,,,30,30,0,0.015167,0.015709,0.038208,0.015882,62964.494322,3935.280895
filesystem,write,native,,1048576,,,30,30,0,0.418375,0.859791,0.932500,0.466781,2142.334107,2142.334107
filesystem,read,native,,1048576,,,30,30,0,0.055667,0.057875,0.059584,0.055992,17859.789933,17859.789933
filesystem,list_directory,native,100,,,,30,30,0,0.045958,0.047291,0.058208,0.046387,21557.578135,0.000000
