experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
metadata,snapshot,rpc,0,,,,30,30,0,0.605666,0.857333,0.923833,0.634100,1577.038737,0.000000
metadata,list_root,rpc,0,,,,30,30,0,0.353667,0.543167,0.554292,0.407997,2450.997213,0.000000
metadata,mkdir_growing_log,rpc,5,,,,30,30,0,0.697333,0.823333,0.830125,0.704647,1419.150231,0.000000
metadata,snapshot,rpc,100,,,,30,30,0,0.531833,0.564208,0.567958,0.526846,1898.089067,0.000000
metadata,list_root,rpc,100,,,,30,30,0,0.519250,0.537333,0.539834,0.518029,1930.393237,0.000000
metadata,read_empty_file,rpc,100,,,,30,30,0,1.067667,1.126250,1.144750,1.070246,934.364768,0.000000
metadata,mkdir_growing_log,rpc,105,,,,30,30,0,0.927333,1.003083,1.125166,0.935272,1069.207446,0.000000
metadata,snapshot,rpc,1000,,,,30,30,0,2.346375,2.445042,2.485209,2.360088,423.713086,0.000000
metadata,list_root,rpc,1000,,,,30,30,0,2.409334,2.459500,2.470209,2.409138,415.086301,0.000000
metadata,read_empty_file,rpc,1000,,,,30,30,0,4.714166,5.085291,5.109375,4.788665,208.826461,0.000000
metadata,mkdir_growing_log,rpc,1005,,,,30,30,0,2.913833,3.016166,3.047417,2.927097,341.635400,0.000000
metadata,snapshot,rpc,5000,,,,30,30,0,11.480000,13.919833,14.123000,11.873731,84.219529,0.000000
metadata,list_root,rpc,5000,,,,30,30,0,11.733542,11.832708,11.881708,11.698694,85.479625,0.000000
metadata,read_empty_file,rpc,5000,,,,30,30,0,22.974416,26.568625,28.150250,23.478571,42.592030,0.000000
metadata,mkdir_growing_log,rpc,5005,,,,30,30,0,11.695958,11.885750,11.905500,11.696944,85.492414,0.000000
metadata,snapshot,rpc,10000,,,,30,30,0,22.605917,22.816625,22.949583,22.599031,44.249686,0.000000
metadata,list_root,rpc,10000,,,,30,30,0,23.684458,23.948666,23.954042,23.727168,42.145780,0.000000
metadata,read_empty_file,rpc,10000,,,,30,30,0,45.846708,46.421625,47.163166,45.851562,21.809508,0.000000
metadata,mkdir_growing_log,rpc,10005,,,,30,30,0,23.124958,23.319292,23.398791,23.157439,43.182668,0.000000
file,write,rpc,,4096,65536,,30,30,0,1.217250,1.292875,1.305500,1.154033,866.526197,3.384868
file,read,rpc,,4096,65536,,30,30,0,1.155750,1.200125,1.218708,1.160354,861.805917,3.366429
file,write,rpc,,65536,65536,,30,30,0,1.153042,1.206792,1.238042,1.159961,862.097925,53.881120
file,read,rpc,,65536,65536,,30,30,0,9.156250,9.415416,9.436083,8.840761,113.112434,7.069527
file,write,rpc,,1048576,65536,,30,30,0,4.357416,4.583333,4.596458,4.332831,230.796010,230.796010
file,read,rpc,,1048576,65536,,30,30,0,53.917292,60.776875,70.871625,54.237664,18.437372,18.437372
file,write,rpc,,4096,1048576,,30,30,0,0.991583,1.046042,1.058333,0.995732,1004.286428,3.922994
file,read,rpc,,4096,1048576,,30,30,0,1.675000,1.714875,1.721667,1.669104,599.123829,2.340327
file,write,rpc,,65536,1048576,,30,30,0,1.151583,1.227167,1.230792,1.153858,866.657494,54.166093
file,read,rpc,,65536,1048576,,30,30,0,30.950166,31.272167,31.628750,30.520517,32.764845,2.047803
file,write,rpc,,1048576,1048576,,30,30,0,4.495417,4.652000,4.686583,4.491528,222.641393,222.641393
file,read,rpc,,1048576,1048576,,30,30,0,168.441041,183.586709,186.278167,170.598238,5.861725,5.861725
concurrency,create_and_write_distinct,rpc,,4096,65536,1,30,30,0,2.545917,2.687625,2.737292,2.487042,400.857830,1.565851
concurrency,create_and_write_distinct,rpc,,4096,65536,2,60,60,0,3.520792,4.697791,5.166167,3.605447,535.854823,2.093183
concurrency,create_and_write_distinct,rpc,,4096,65536,4,120,120,0,7.512083,11.780541,13.139000,7.789501,469.837875,1.835304
concurrency,create_and_write_distinct,rpc,,4096,65536,8,240,240,0,17.562708,29.749625,33.953166,18.217656,385.882490,1.507353
concurrency,create_and_write_distinct,rpc,,4096,65536,16,480,480,0,48.125792,77.132208,86.232500,47.693207,292.356039,1.142016
