experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
filesystem,write,native,,4096,,,30,30,0,0.038792,0.062667,0.063042,0.040763,24532.311917,95.829343
filesystem,read,native,,4096,,,30,30,0,0.010875,0.013250,0.014166,0.011354,88073.911627,344.038717
filesystem,write,native,,65536,,,30,30,0,0.050834,0.067375,0.068792,0.052499,19048.126998,1190.507937
filesystem,read,native,,65536,,,30,30,0,0.015375,0.016167,0.017792,0.015321,65270.459025,4079.403689
filesystem,write,native,,1048576,,,30,30,0,0.239291,0.617417,0.745416,0.267432,3739.269232,3739.269232
filesystem,read,native,,1048576,,,30,30,0,0.055417,0.058083,0.058333,0.055647,17970.345336,17970.345336
filesystem,list_directory,native,100,,,,30,30,0,0.046417,0.050666,0.052541,0.046824,21356.751723,0.000000
