experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
metadata,snapshot,rpc,0,,,,30,30,0,0.418750,0.750084,0.763959,0.462736,2161.058348,0.000000
metadata,list_root,rpc,0,,,,30,30,0,0.412042,0.740250,0.763875,0.409450,2442.300448,0.000000
metadata,mkdir_growing_log,rpc,5,,,,30,30,0,0.698417,1.319292,1.362250,0.759339,1316.935092,0.000000
metadata,snapshot,rpc,100,,,,30,30,0,0.528250,0.865958,0.898708,0.586782,1704.210616,0.000000
metadata,list_root,rpc,100,,,,30,30,0,0.527208,0.848459,0.858459,0.577618,1731.247688,0.000000
metadata,read_empty_file,rpc,100,,,,30,30,0,1.064917,1.617959,1.677375,1.171710,853.453645,0.000000
metadata,mkdir_growing_log,rpc,105,,,,30,30,0,0.913292,1.426917,1.559166,0.981165,1019.196186,0.000000
metadata,snapshot,rpc,1000,,,,30,30,0,2.452625,2.521458,2.533916,2.458228,406.797130,0.000000
metadata,list_root,rpc,1000,,,,30,30,0,2.536084,2.639500,2.649791,2.548412,392.401162,0.000000
metadata,read_empty_file,rpc,1000,,,,30,30,0,5.860417,6.802667,6.811208,5.809674,172.126710,0.000000
metadata,mkdir_growing_log,rpc,1005,,,,30,30,0,3.656834,4.509625,4.579958,3.760436,265.926604,0.000000
metadata,snapshot,rpc,5000,,,,30,30,0,11.566292,12.252250,12.290833,11.673243,85.665998,0.000000
metadata,list_root,rpc,5000,,,,30,30,0,12.627834,12.753209,12.973541,12.634221,79.150112,0.000000
metadata,read_empty_file,rpc,5000,,,,30,30,0,24.436834,24.596542,24.971417,24.405982,40.973562,0.000000
metadata,mkdir_growing_log,rpc,5005,,,,30,30,0,12.741875,12.875750,12.893375,12.751376,78.422908,0.000000
metadata,snapshot,rpc,10000,,,,30,30,0,23.994583,24.434250,24.739333,23.836672,41.952165,0.000000
metadata,list_root,rpc,10000,,,,30,30,0,24.891083,25.299333,25.318958,24.860478,40.224489,0.000000
metadata,read_empty_file,rpc,10000,,,,30,30,0,48.362042,59.825750,64.103875,49.166408,20.339090,0.000000
metadata,mkdir_growing_log,rpc,10005,,,,30,30,0,24.420625,24.918291,25.055084,24.413197,40.961452,0.000000
file,write,rpc,,4096,65536,,30,30,0,1.038834,1.433917,1.460209,1.165843,857.748280,3.350579
file,read,rpc,,4096,65536,,30,30,0,48.984833,62.441541,62.825125,50.040793,19.983696,0.078061
file,write,rpc,,65536,65536,,30,30,0,1.230500,1.563375,1.747584,1.334557,749.312412,46.832026
file,read,rpc,,65536,65536,,30,30,0,116.186625,121.934083,123.532417,117.002685,8.546812,0.534176
file,write,rpc,,1048576,65536,,30,30,0,4.732875,5.155458,5.214542,4.787246,208.888377,208.888377
file,read,rpc,,1048576,65536,,30,30,0,299.157500,323.259083,341.935166,299.890333,3.334552,3.334552
file,write,rpc,,4096,1048576,,30,30,0,1.002250,1.058541,1.076375,1.005806,994.227943,3.883703
file,read,rpc,,4096,1048576,,30,30,0,49.859708,51.171834,51.241667,49.597972,20.162115,0.078758
file,write,rpc,,65536,1048576,,30,30,0,1.218250,1.597750,1.693666,1.323265,755.706339,47.231646
file,read,rpc,,65536,1048576,,30,30,0,132.272584,136.038291,137.101625,132.718335,7.534754,0.470922
file,write,rpc,,1048576,1048576,,30,30,0,5.709875,5.992875,6.011000,5.691494,175.700780,175.700780
file,read,rpc,,1048576,1048576,,30,30,0,523.346875,858.352542,899.583417,551.521550,1.813166,1.813166
concurrency,create_and_write_distinct,rpc,,4096,65536,1,30,30,0,2.527709,2.762916,2.766375,2.499335,398.910549,1.558244
concurrency,create_and_write_distinct,rpc,,4096,65536,2,60,60,0,3.602125,4.923500,5.060334,3.686544,526.220959,2.055551
concurrency,create_and_write_distinct,rpc,,4096,65536,4,120,120,0,7.553041,11.208833,12.465125,7.782372,473.712572,1.850440
concurrency,create_and_write_distinct,rpc,,4096,65536,8,240,240,0,17.924542,32.081084,36.092375,18.988529,373.554228,1.459196
concurrency,create_and_write_distinct,rpc,,4096,65536,16,480,480,0,48.571416,77.847709,88.227375,48.375819,283.560240,1.107657
