experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
metadata,snapshot,rpc,0,,,,30,30,0,0.411959,0.815833,0.860375,0.493390,2026.793261,0.000000
metadata,list_root,rpc,0,,,,30,30,0,0.403458,0.429250,0.429542,0.397778,2513.966551,0.000000
metadata,mkdir_growing_log,rpc,5,,,,30,30,0,0.637166,0.786458,0.787792,0.660878,1513.139346,0.000000
metadata,snapshot,rpc,100,,,,30,30,0,0.527792,0.552958,0.579250,0.527690,1895.051181,0.000000
metadata,list_root,rpc,100,,,,30,30,0,0.517334,0.544000,0.574666,0.503929,1984.406140,0.000000
metadata,read_empty_file,rpc,100,,,,30,30,0,0.913333,1.147250,1.311333,0.973735,1026.973809,0.000000
metadata,mkdir_growing_log,rpc,105,,,,30,30,0,0.883375,0.927500,0.932541,0.886247,1128.353311,0.000000
metadata,snapshot,rpc,1000,,,,30,30,0,2.408833,2.575542,2.669375,2.423232,412.672002,0.000000
metadata,list_root,rpc,1000,,,,30,30,0,2.414417,2.873458,3.192750,2.461357,406.279950,0.000000
metadata,read_empty_file,rpc,1000,,,,30,30,0,4.605708,5.121084,5.673334,4.673803,213.958533,0.000000
metadata,mkdir_growing_log,rpc,1005,,,,30,30,0,2.974625,3.082250,3.116833,2.986618,334.826877,0.000000
metadata,snapshot,rpc,5000,,,,30,30,0,11.287083,12.137833,12.213708,11.420504,87.561809,0.000000
metadata,list_root,rpc,5000,,,,30,30,0,12.432375,12.598000,12.623959,12.395750,80.672811,0.000000
metadata,read_empty_file,rpc,5000,,,,30,30,0,23.712958,24.159542,24.336875,23.588436,42.393654,0.000000
metadata,mkdir_growing_log,rpc,5005,,,,30,30,0,12.472084,12.774958,12.813583,12.455193,80.287796,0.000000
metadata,snapshot,rpc,10000,,,,30,30,0,23.143792,24.184042,24.249958,23.174258,43.151327,0.000000
metadata,list_root,rpc,10000,,,,30,30,0,24.877416,25.227041,25.235458,24.773583,40.365578,0.000000
metadata,read_empty_file,rpc,10000,,,,30,30,0,48.120416,48.832542,50.204292,48.172386,20.758781,0.000000
metadata,mkdir_growing_log,rpc,10005,,,,30,30,0,24.602208,25.188666,25.914750,24.595721,40.657479,0.000000
file,write,rpc,,4096,65536,,30,30,0,1.076542,1.511209,1.553042,1.230022,812.993479,3.175756
file,read,rpc,,4096,65536,,30,30,0,1.173417,1.202500,1.204625,1.175406,850.770151,3.323321
file,write,rpc,,65536,65536,,30,30,0,1.182583,1.246166,1.288583,1.188946,841.081257,52.567579
file,read,rpc,,65536,65536,,30,30,0,8.501625,12.386667,12.785042,9.761144,102.447005,6.402938
file,write,rpc,,1048576,65536,,30,30,0,8.825541,9.051667,9.067208,8.836739,113.163920,113.163920
file,read,rpc,,1048576,65536,,30,30,0,190.162333,192.137625,193.268125,190.082915,5.260862,5.260862
file,write,rpc,,4096,1048576,,30,30,0,1.086208,1.486416,1.488250,1.196625,835.683694,3.264389
file,read,rpc,,4096,1048576,,30,30,0,1.642750,1.680792,1.716834,1.649801,606.133550,2.367709
file,write,rpc,,65536,1048576,,30,30,0,1.182042,1.239250,1.249458,1.189742,840.518647,52.532415
file,read,rpc,,65536,1048576,,30,30,0,31.793208,34.653916,35.010458,32.110892,31.142081,1.946380
file,write,rpc,,1048576,1048576,,30,30,0,5.889000,6.170000,6.183375,5.931596,168.588690,168.588690
file,read,rpc,,1048576,1048576,,30,30,0,181.872084,228.604958,237.781000,184.290244,5.426223,5.426223
concurrency,create_and_write_distinct,rpc,,4096,65536,1,30,30,0,2.444375,2.678084,2.684333,2.422800,411.574637,1.607713
concurrency,create_and_write_distinct,rpc,,4096,65536,2,60,60,0,3.557625,4.679291,5.013416,3.561316,541.841649,2.116569
concurrency,create_and_write_distinct,rpc,,4096,65536,4,120,120,0,7.259666,11.295875,11.738958,7.542474,487.070728,1.902620
concurrency,create_and_write_distinct,rpc,,4096,65536,8,240,240,0,18.355709,30.319083,34.097792,19.110234,368.027226,1.437606
concurrency,create_and_write_distinct,rpc,,4096,65536,16,480,480,0,46.568792,74.484042,82.057833,47.717089,286.006165,1.117212
