experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
filesystem,write,native,,4096,,,30,30,0,0.040292,0.061291,0.062208,0.043221,23137.008107,90.378938
filesystem,read,native,,4096,,,30,30,0,0.010875,0.011583,0.011833,0.010853,92142.686021,359.932367
filesystem,write,native,,65536,,,30,30,0,0.048416,0.311208,0.619042,0.079258,12616.980437,788.561277
filesystem,read,native,,65536,,,30,30,0,0.015333,0.015708,0.015792,0.015218,65711.657248,4106.978578
filesystem,write,native,,1048576,,,30,30,0,0.227333,0.961250,1.008250,0.280737,3562.046396,3562.046396
filesystem,read,native,,1048576,,,30,30,0,0.056084,0.059000,0.061792,0.056461,17711.298746,17711.298746
filesystem,list_directory,native,100,,,,30,30,0,0.045917,0.047459,0.048292,0.046056,21712.886164,0.000000
