experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
filesystem,write,native,,4096,,,30,30,0,0.045625,0.075542,0.083584,0.049263,20299.416392,79.294595
filesystem,read,native,,4096,,,30,30,0,0.010875,0.013333,0.013791,0.011204,89253.837915,348.647804
filesystem,write,native,,65536,,,30,30,0,0.049958,0.491666,0.551750,0.090483,11051.759072,690.734942
filesystem,read,native,,65536,,,30,30,0,0.015125,0.016000,0.016042,0.015200,65789.473684,4111.842105
filesystem,write,native,,1048576,,,30,30,0,0.438625,1.155833,1.371500,0.550551,1816.361054,1816.361054
filesystem,read,native,,1048576,,,30,30,0,0.055375,0.056375,0.056417,0.055504,18016.654596,18016.654596
filesystem,list_directory,native,100,,,,30,30,0,0.045458,0.048834,0.050542,0.045924,21775.280556,0.000000
