experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
filesystem,write,binfs-fuse,,4096,,,30,30,0,168.975583,188.261833,190.089833,171.408729,5.834009,0.022789
filesystem,read,binfs-fuse,,4096,,,30,30,0,111.045875,112.469334,112.688375,110.006831,9.090345,0.035509
filesystem,write,binfs-fuse,,65536,,,30,30,0,268.501000,284.278584,291.853459,270.952708,3.690681,0.230668
filesystem,read,binfs-fuse,,65536,,,30,30,0,198.482625,202.974959,216.133208,198.728026,5.032003,0.314500
filesystem,write,binfs-fuse,,1048576,,,30,30,0,1404.222833,1473.761791,1492.133750,1406.088654,0.711193,0.711193
filesystem,read,binfs-fuse,,1048576,,,30,30,0,1369.250333,1382.098209,1383.556334,1369.471900,0.730208,0.730208
filesystem,list_directory,binfs-fuse,100,,,,30,30,0,67.711875,68.982875,69.005542,67.399754,14.836849,0.000000
