experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
metadata,snapshot,rpc,0,,,,30,30,0,0.418541,0.948417,1.018333,0.480271,2082.158504,0.000000
metadata,list_root,rpc,0,,,,30,30,0,0.414166,0.830917,0.915750,0.450953,2217.526978,0.000000
metadata,mkdir_growing_log,rpc,5,,,,30,30,0,0.726209,1.588292,1.715083,0.863265,1158.392443,0.000000
metadata,snapshot,rpc,100,,,,30,30,0,0.526542,0.737417,0.884083,0.548332,1823.712863,0.000000
metadata,list_root,rpc,100,,,,30,30,0,0.532709,1.022167,1.055292,0.588346,1699.680602,0.000000
metadata,read_empty_file,rpc,100,,,,30,30,0,1.095583,1.741459,2.126042,1.190340,840.095895,0.000000
metadata,mkdir_growing_log,rpc,105,,,,30,30,0,0.892500,1.924334,1.944000,0.991225,1008.852581,0.000000
metadata,snapshot,rpc,1000,,,,30,30,0,2.523583,2.995583,3.076541,2.606762,383.617620,0.000000
metadata,list_root,rpc,1000,,,,30,30,0,2.760167,3.141959,3.192041,2.789525,358.483967,0.000000
metadata,read_empty_file,rpc,1000,,,,30,30,0,5.311417,5.610333,5.789750,5.202057,192.231651,0.000000
metadata,mkdir_growing_log,rpc,1005,,,,30,30,0,3.576625,3.681250,3.753958,3.573961,279.801585,0.000000
metadata,snapshot,rpc,5000,,,,30,30,0,11.663750,12.377500,12.562125,11.696556,85.495254,0.000000
metadata,list_root,rpc,5000,,,,30,30,0,12.644708,13.126916,13.282083,12.603510,79.342979,0.000000
metadata,read_empty_file,rpc,5000,,,,30,30,0,24.552458,25.089583,25.445917,24.469574,40.867079,0.000000
metadata,mkdir_growing_log,rpc,5005,,,,30,30,0,12.840042,13.174584,13.218250,12.863014,77.742278,0.000000
metadata,snapshot,rpc,10000,,,,30,30,0,23.815209,25.127500,27.494708,23.719483,42.159434,0.000000
metadata,list_root,rpc,10000,,,,30,30,0,24.858667,25.634708,25.864917,24.844886,40.249732,0.000000
metadata,read_empty_file,rpc,10000,,,,30,30,0,48.011500,49.135084,49.744167,47.989090,20.838069,0.000000
metadata,mkdir_growing_log,rpc,10005,,,,30,30,0,24.686792,25.781167,26.143209,24.671551,40.532514,0.000000
file,write,rpc,,4096,65536,,30,30,0,1.082250,1.660958,1.723583,1.250108,799.930694,3.124729
file,read,rpc,,4096,65536,,30,30,0,65.224750,74.340917,81.122417,66.253525,15.093537,0.058959
file,write,rpc,,65536,65536,,30,30,0,1.264584,1.677459,1.683250,1.371553,729.100605,45.568788
file,read,rpc,,65536,65536,,30,30,0,147.939917,150.333625,150.801250,148.019483,6.755867,0.422242
file,write,rpc,,1048576,65536,,30,30,0,9.125084,9.320584,9.332375,8.995836,111.162539,111.162539
file,read,rpc,,1048576,65536,,30,30,0,1177.538708,1185.846083,1191.792792,1176.848840,0.849727,0.849727
file,write,rpc,,4096,1048576,,30,30,0,1.104375,1.522958,1.553750,1.216693,821.899952,3.210547
file,read,rpc,,4096,1048576,,30,30,0,65.880292,67.892500,73.685500,65.958550,15.161037,0.059223
file,write,rpc,,65536,1048576,,30,30,0,1.258083,1.720333,1.816875,1.396940,715.850222,44.740639
file,read,rpc,,65536,1048576,,30,30,0,164.115583,168.633333,180.746166,164.608567,6.075018,0.379689
file,write,rpc,,1048576,1048576,,30,30,0,5.116917,6.156291,6.162125,5.287657,189.119679,189.119679
file,read,rpc,,1048576,1048576,,30,30,0,625.992041,962.681959,1024.182750,659.694546,1.515853,1.515853
concurrency,create_and_write_distinct,rpc,,4096,65536,1,30,30,0,2.535792,2.783292,2.906083,2.523158,395.155613,1.543577
concurrency,create_and_write_distinct,rpc,,4096,65536,2,60,60,0,3.652875,4.779792,5.039875,3.682306,525.411460,2.052389
concurrency,create_and_write_distinct,rpc,,4096,65536,4,120,120,0,7.526500,11.593250,12.743292,7.685906,469.774341,1.835056
concurrency,create_and_write_distinct,rpc,,4096,65536,8,240,240,0,17.586458,29.745125,32.388250,18.691396,381.706527,1.491041
concurrency,create_and_write_distinct,rpc,,4096,65536,16,480,480,0,48.054750,78.494416,86.752834,49.180005,281.261708,1.098679
