experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
filesystem,write,binfs-fuse,,4096,,,30,30,0,132.456209,141.512708,146.484000,130.584683,7.657866,0.029914
filesystem,read,binfs-fuse,,4096,,,30,30,0,83.716375,89.005750,92.311958,84.134672,11.885706,0.046429
filesystem,write,binfs-fuse,,65536,,,30,30,0,198.974541,210.178167,222.717125,200.857428,4.978656,0.311166
filesystem,read,binfs-fuse,,65536,,,30,30,0,149.739000,163.730083,185.093625,151.036407,6.620920,0.413808
filesystem,write,binfs-fuse,,1048576,,,30,30,0,1080.001583,1153.794125,1162.701458,1082.241553,0.924008,0.924008
filesystem,read,binfs-fuse,,1048576,,,30,30,0,1067.183750,1087.428375,1092.588708,1067.859999,0.936452,0.936452
filesystem,list_directory,binfs-fuse,100,,,,30,30,0,50.374250,58.486166,65.654667,50.974061,19.617821,0.000000
