experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
metadata,snapshot,rpc,0,,,,30,30,0,0.476375,0.686667,0.709750,0.505339,1978.869891,0.000000
metadata,list_root,rpc,0,,,,30,30,0,0.396708,0.497291,0.544250,0.388478,2574.150110,0.000000
metadata,mkdir_growing_log,rpc,5,,,,30,30,0,0.589792,0.720125,0.725250,0.625843,1597.844572,0.000000
metadata,snapshot,rpc,100,,,,30,30,0,0.533416,1.011625,1.458833,0.589325,1696.856957,0.000000
metadata,list_root,rpc,100,,,,30,30,0,0.473042,0.559208,0.581958,0.497606,2009.623821,0.000000
metadata,read_empty_file,rpc,100,,,,30,30,0,0.920166,1.427000,2.155000,1.028872,971.937854,0.000000
metadata,mkdir_growing_log,rpc,105,,,,30,30,0,0.891125,0.930750,0.934292,0.894371,1118.104399,0.000000
metadata,snapshot,rpc,1000,,,,30,30,0,3.178375,3.917541,4.611375,3.267907,306.006267,0.000000
metadata,list_root,rpc,1000,,,,30,30,0,2.700500,3.091125,3.114875,2.773779,360.518984,0.000000
metadata,read_empty_file,rpc,1000,,,,30,30,0,5.395041,6.233041,6.496917,5.550090,180.177249,0.000000
metadata,mkdir_growing_log,rpc,1005,,,,30,30,0,3.659500,4.132625,4.188292,3.718379,268.934379,0.000000
metadata,snapshot,rpc,5000,,,,30,30,0,12.246958,12.930875,13.119542,12.304949,81.268117,0.000000
metadata,list_root,rpc,5000,,,,30,30,0,13.850792,14.578500,14.606542,13.849139,72.206655,0.000000
metadata,read_empty_file,rpc,5000,,,,30,30,0,24.769084,28.128459,28.572083,25.511290,39.198331,0.000000
metadata,mkdir_growing_log,rpc,5005,,,,30,30,0,13.924833,15.145208,15.427833,13.816129,72.379173,0.000000
metadata,snapshot,rpc,10000,,,,30,30,0,23.987750,25.480833,26.070875,23.971325,41.716509,0.000000
metadata,list_root,rpc,10000,,,,30,30,0,24.989125,26.713250,27.174625,25.183271,39.708901,0.000000
metadata,read_empty_file,rpc,10000,,,,30,30,0,48.416417,51.225125,51.602583,48.670086,20.546502,0.000000
metadata,mkdir_growing_log,rpc,10005,,,,30,30,0,24.479167,24.861542,25.357166,24.298114,41.155458,0.000000
file,write,rpc,,4096,65536,,30,30,0,1.076000,1.487958,1.530916,1.204568,830.173164,3.242864
file,read,rpc,,4096,65536,,30,30,0,46.123708,49.283875,50.398209,45.809308,21.829624,0.085272
file,write,rpc,,65536,65536,,30,30,0,1.270125,1.709250,1.791250,1.387642,720.647141,45.040446
file,read,rpc,,65536,65536,,30,30,0,116.112125,127.000875,134.486417,116.804636,8.561304,0.535082
file,write,rpc,,1048576,65536,,30,30,0,9.056083,9.621667,10.184750,9.074726,110.196160,110.196160
file,read,rpc,,1048576,65536,,30,30,0,879.746083,909.649875,949.569792,882.498122,1.133147,1.133147
file,write,rpc,,4096,1048576,,30,30,0,1.106792,1.519750,1.556625,1.241846,805.252977,3.145519
file,read,rpc,,4096,1048576,,30,30,0,46.795125,48.963750,49.197000,46.781901,21.375788,0.083499
file,write,rpc,,65536,1048576,,30,30,0,1.278083,1.769625,1.784625,1.415731,706.349108,44.146819
file,read,rpc,,65536,1048576,,30,30,0,130.603791,136.848792,158.767500,131.287546,7.616869,0.476054
file,write,rpc,,1048576,1048576,,30,30,0,6.899958,18.771750,40.036542,9.053772,110.451199,110.451199
file,read,rpc,,1048576,1048576,,30,30,0,531.090042,729.590583,813.296958,550.621932,1.816128,1.816128
concurrency,create_and_write_distinct,rpc,,4096,65536,1,30,30,0,2.486791,2.853000,2.861500,2.501490,398.540460,1.556799
concurrency,create_and_write_distinct,rpc,,4096,65536,2,60,60,0,3.398667,4.785292,5.295250,3.557917,540.265336,2.110411
concurrency,create_and_write_distinct,rpc,,4096,65536,4,120,120,0,7.952667,11.864333,12.617542,7.960413,459.265249,1.794005
concurrency,create_and_write_distinct,rpc,,4096,65536,8,240,240,0,18.095958,31.511916,35.170875,19.369493,366.255111,1.430684
concurrency,create_and_write_distinct,rpc,,4096,65536,16,480,480,0,54.972375,84.393166,95.926750,53.249817,258.783272,1.010872
