experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
filesystem,write,native,,4096,,,30,30,0,0.036500,0.056667,0.059334,0.039524,25301.360285,98.833439
filesystem,read,native,,4096,,,30,30,0,0.010500,0.010792,0.011291,0.010530,94962.553100,370.947473
filesystem,write,native,,65536,,,30,30,0,0.047875,0.066416,0.070875,0.050619,19755.245676,1234.702855
filesystem,read,native,,65536,,,30,30,0,0.015667,0.016667,0.017500,0.015733,63559.052716,3972.440795
filesystem,write,native,,1048576,,,30,30,0,0.743417,3.510875,4.065791,1.565743,638.674378,638.674378
filesystem,read,native,,1048576,,,30,30,0,0.055292,0.056292,0.056625,0.055482,18023.874424,18023.874424
filesystem,list_directory,native,100,,,,30,30,0,0.046208,0.047250,0.048084,0.046311,21593.095392,0.000000
