experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
filesystem,write,native,,4096,,,30,30,0,0.039125,0.080417,0.088250,0.046363,21569.140599,84.254455
filesystem,read,native,,4096,,,30,30,0,0.010333,0.011541,0.011583,0.010525,95012.779219,371.143669
filesystem,write,native,,65536,,,30,30,0,0.046291,0.057042,0.061083,0.047746,20944.192106,1309.012007
filesystem,read,native,,65536,,,30,30,0,0.014791,0.015459,0.015542,0.014867,67264.573991,4204.035874
filesystem,write,native,,1048576,,,30,30,0,0.241292,0.278583,0.812375,0.259494,3853.646719,3853.646719
filesystem,read,native,,1048576,,,30,30,0,0.055167,0.055750,0.058209,0.055268,18093.587271,18093.587271
filesystem,list_directory,native,100,,,,30,30,0,0.047459,0.048334,0.048834,0.047564,21024.348298,0.000000
