experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
metadata,snapshot,rpc,0,,,,30,30,0,0.639417,0.865958,0.967333,0.638868,1565.268487,0.000000
metadata,list_root,rpc,0,,,,30,30,0,0.358000,0.524416,0.534584,0.384443,2601.165843,0.000000
metadata,mkdir_growing_log,rpc,5,,,,30,30,0,0.708250,0.735583,0.751958,0.710194,1408.065370,0.000000
metadata,snapshot,rpc,100,,,,30,30,0,0.523417,0.540584,0.544417,0.524542,1906.426003,0.000000
metadata,list_root,rpc,100,,,,30,30,0,0.528000,0.543584,0.549750,0.528785,1891.128847,0.000000
metadata,read_empty_file,rpc,100,,,,30,30,0,1.048000,1.071667,1.095917,1.049764,952.595211,0.000000
metadata,mkdir_growing_log,rpc,105,,,,30,30,0,0.891958,0.950708,0.953542,0.895196,1117.074011,0.000000
metadata,snapshot,rpc,1000,,,,30,30,0,2.582000,3.080625,3.296416,2.698582,370.564999,0.000000
metadata,list_root,rpc,1000,,,,30,30,0,2.649166,2.861583,2.863458,2.660856,375.818971,0.000000
metadata,read_empty_file,rpc,1000,,,,30,30,0,5.623083,6.278125,7.021583,5.646368,177.104997,0.000000
metadata,mkdir_growing_log,rpc,1005,,,,30,30,0,3.651542,4.624333,5.043709,3.823730,261.524712,0.000000
metadata,snapshot,rpc,5000,,,,30,30,0,11.617541,12.185875,12.210834,11.618331,86.070885,0.000000
metadata,list_root,rpc,5000,,,,30,30,0,12.671709,12.794084,12.982666,12.640301,79.112038,0.000000
metadata,read_empty_file,rpc,5000,,,,30,30,0,24.404750,24.533833,24.571709,24.321549,41.115803,0.000000
metadata,mkdir_growing_log,rpc,5005,,,,30,30,0,12.710041,12.789458,12.811333,12.694985,78.771264,0.000000
metadata,snapshot,rpc,10000,,,,30,30,0,23.823875,24.203333,24.237834,23.636593,42.307282,0.000000
metadata,list_root,rpc,10000,,,,30,30,0,24.869042,25.054333,25.135750,24.793933,40.332447,0.000000
metadata,read_empty_file,rpc,10000,,,,30,30,0,48.077083,48.461333,48.643041,48.040668,20.815697,0.000000
metadata,mkdir_growing_log,rpc,10005,,,,30,30,0,25.433542,29.861333,31.303792,26.037018,38.406856,0.000000
file,write,rpc,,4096,65536,,30,30,0,1.076417,1.464875,1.469208,1.183603,844.878052,3.300305
file,read,rpc,,4096,65536,,30,30,0,66.332000,68.839750,71.837709,66.369138,15.067244,0.058856
file,write,rpc,,65536,65536,,30,30,0,1.227834,1.651166,1.707834,1.357935,736.412436,46.025777
file,read,rpc,,65536,65536,,30,30,0,147.006750,149.122791,149.571250,147.064512,6.799737,0.424984
file,write,rpc,,1048576,65536,,30,30,0,4.786208,5.039334,5.048042,4.769719,209.655939,209.655939
file,read,rpc,,1048576,65536,,30,30,0,430.159834,475.153500,522.526334,432.164847,2.313932,2.313932
file,write,rpc,,4096,1048576,,30,30,0,1.046500,1.181791,1.476792,1.055804,947.145433,3.699787
file,read,rpc,,4096,1048576,,30,30,0,71.480208,73.306333,73.470125,71.528728,13.980397,0.054611
file,write,rpc,,65536,1048576,,30,30,0,1.233750,1.630375,1.682959,1.344708,743.655687,46.478480
file,read,rpc,,65536,1048576,,30,30,0,171.010792,173.639083,174.213916,170.913029,5.850929,0.365683
file,write,rpc,,1048576,1048576,,30,30,0,5.760708,5.897750,5.906333,5.708150,175.188106,175.188106
file,read,rpc,,1048576,1048576,,30,30,0,647.006833,655.065125,671.875500,645.585818,1.548981,1.548981
concurrency,create_and_write_distinct,rpc,,4096,65536,1,30,30,0,2.491583,2.721750,2.741959,2.483543,401.391491,1.567936
concurrency,create_and_write_distinct,rpc,,4096,65536,2,60,60,0,3.601834,4.771375,5.287709,3.626496,528.519870,2.064531
concurrency,create_and_write_distinct,rpc,,4096,65536,4,120,120,0,7.541333,12.027917,13.401750,7.736062,468.574665,1.830370
concurrency,create_and_write_distinct,rpc,,4096,65536,8,240,240,0,18.593708,32.322750,36.672333,19.382819,363.641576,1.420475
concurrency,create_and_write_distinct,rpc,,4096,65536,16,480,480,0,45.782125,76.160833,89.502333,47.563240,294.413812,1.150054
