experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
filesystem,write,native,,4096,,,30,30,0,0.049000,0.081416,0.100084,0.054253,18432.217058,72.000848
filesystem,read,native,,4096,,,30,30,0,0.013667,0.015541,0.016000,0.013833,72288.982436,282.378838
filesystem,write,native,,65536,,,30,30,0,0.056958,0.088541,0.103208,0.060270,16592.140303,1037.008769
filesystem,read,native,,65536,,,30,30,0,0.018791,0.025209,0.025417,0.019356,51664.812474,3229.050780
filesystem,write,native,,1048576,,,30,30,0,0.275500,0.425959,0.704958,0.296508,3372.587251,3372.587251
filesystem,read,native,,1048576,,,30,30,0,0.080167,0.084125,0.084375,0.079528,12574.214059,12574.214059
filesystem,list_directory,native,100,,,,30,30,0,0.058542,0.066667,0.066750,0.060171,16619.320070,0.000000
