experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
filesystem,write,native,,4096,,,30,30,0,0.048083,0.075250,0.075666,0.050955,19624.979721,76.660077
filesystem,read,native,,4096,,,30,30,0,0.010708,0.013625,0.013625,0.011105,90045.743238,351.741185
filesystem,write,native,,65536,,,30,30,0,0.056791,2.744708,3.056000,0.303933,3290.195940,205.637246
filesystem,read,native,,65536,,,30,30,0,0.015125,0.015375,0.017459,0.015096,66243.737207,4140.233575
filesystem,write,native,,1048576,,,30,30,0,0.243500,0.256417,0.845583,0.260808,3834.233313,3834.233313
filesystem,read,native,,1048576,,,30,30,0,0.055459,0.057625,0.058042,0.055744,17939.032404,17939.032404
filesystem,list_directory,native,100,,,,30,30,0,0.046584,0.047584,0.047750,0.046678,21423.383909,0.000000
