experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
metadata,snapshot,rpc,0,,,,30,30,0,0.273292,0.351166,0.399292,0.289846,3450.110766,0.000000
metadata,list_root,rpc,0,,,,30,30,0,0.311125,0.347375,0.388625,0.315158,3173.008612,0.000000
metadata,mkdir_growing_log,rpc,5,,,,30,30,0,0.698125,0.818583,0.856792,0.692597,1443.840801,0.000000
metadata,snapshot,rpc,100,,,,30,30,0,0.533000,0.610875,0.690583,0.519057,1926.570561,0.000000
metadata,list_root,rpc,100,,,,30,30,0,0.574375,0.686666,0.740292,0.590996,1692.059498,0.000000
metadata,read_empty_file,rpc,100,,,,30,30,0,1.127042,1.393542,1.755541,1.176017,850.328181,0.000000
metadata,mkdir_growing_log,rpc,105,,,,30,30,0,0.952333,1.127083,1.160084,0.973867,1026.834681,0.000000
metadata,snapshot,rpc,1000,,,,30,30,0,2.631167,3.207875,3.328000,2.717240,368.020455,0.000000
metadata,list_root,rpc,1000,,,,30,30,0,2.671083,2.753625,2.777042,2.645371,378.018830,0.000000
metadata,read_empty_file,rpc,1000,,,,30,30,0,5.378250,5.589917,5.679833,5.399122,185.215290,0.000000
metadata,mkdir_growing_log,rpc,1005,,,,30,30,0,3.077416,3.218959,3.225834,3.079150,324.764951,0.000000
metadata,snapshot,rpc,5000,,,,30,30,0,12.403709,12.988458,13.172667,12.450200,80.319995,0.000000
metadata,list_root,rpc,5000,,,,30,30,0,12.589042,13.120625,13.136459,12.536069,79.769820,0.000000
metadata,read_empty_file,rpc,5000,,,,30,30,0,26.027667,29.444292,46.165209,27.069933,36.941354,0.000000
metadata,mkdir_growing_log,rpc,5005,,,,30,30,0,12.866834,13.959583,14.271166,12.987822,76.995202,0.000000
metadata,snapshot,rpc,10000,,,,30,30,0,24.589916,25.563666,25.761542,24.600796,40.649091,0.000000
metadata,list_root,rpc,10000,,,,30,30,0,25.017333,33.350500,35.542875,25.814192,38.738381,0.000000
metadata,read_empty_file,rpc,10000,,,,30,30,0,50.026250,52.772250,53.522333,50.336083,19.866464,0.000000
metadata,mkdir_growing_log,rpc,10005,,,,30,30,0,25.260125,26.156583,27.225667,25.301056,39.524043,0.000000
file,write,rpc,,4096,65536,,30,30,0,1.223042,1.523208,1.527292,1.232097,811.624278,3.170407
file,read,rpc,,4096,65536,,30,30,0,87.322167,91.568000,91.746334,87.518031,11.426217,0.044634
file,write,rpc,,65536,65536,,30,30,0,1.318334,1.740458,1.753708,1.400804,713.875610,44.617226
file,read,rpc,,65536,65536,,30,30,0,187.648458,209.821542,221.896125,190.280929,5.255387,0.328462
file,write,rpc,,1048576,65536,,30,30,0,4.837375,5.679333,5.827958,4.943039,202.304702,202.304702
file,read,rpc,,1048576,65536,,30,30,0,580.496709,682.465000,688.537292,593.953304,1.683634,1.683634
file,write,rpc,,4096,1048576,,30,30,0,1.036125,1.311917,1.331833,1.059079,944.216507,3.688346
file,read,rpc,,4096,1048576,,30,30,0,91.056417,92.146208,92.863667,90.974681,10.992069,0.042938
file,write,rpc,,65536,1048576,,30,30,0,1.227333,1.603750,1.709458,1.340897,745.769381,46.610586
file,read,rpc,,65536,1048576,,30,30,0,234.186917,251.290625,263.918500,236.035547,4.236650,0.264791
file,write,rpc,,1048576,1048576,,30,30,0,4.923833,5.549208,5.605667,5.046675,198.150270,198.150270
file,read,rpc,,1048576,1048576,,30,30,0,805.893583,890.558417,943.130958,818.296661,1.222051,1.222051
concurrency,create_and_write_distinct,rpc,,4096,65536,1,30,30,0,2.516541,2.770875,2.810083,2.500876,398.639301,1.557185
concurrency,create_and_write_distinct,rpc,,4096,65536,2,60,60,0,3.636583,4.882625,5.130625,3.675368,523.498335,2.044915
concurrency,create_and_write_distinct,rpc,,4096,65536,4,120,120,0,7.425625,11.488875,12.667459,7.705126,476.005667,1.859397
concurrency,create_and_write_distinct,rpc,,4096,65536,8,240,240,0,18.227958,33.822250,37.805417,19.801317,358.581876,1.400710
concurrency,create_and_write_distinct,rpc,,4096,65536,16,480,480,0,49.395209,82.177333,97.844375,49.710369,282.677022,1.104207
