experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
filesystem,write,binfs-fuse,,4096,,,30,30,0,239.416375,279.994042,281.809291,240.033193,4.166090,0.016274
filesystem,read,binfs-fuse,,4096,,,30,30,0,140.808792,201.938542,219.853750,149.627954,6.683243,0.026106
filesystem,write,binfs-fuse,,65536,,,30,30,0,355.185333,494.093416,933.306834,379.131867,2.637605,0.164850
filesystem,read,binfs-fuse,,65536,,,30,30,0,253.648334,355.645042,929.231167,283.499915,3.527338,0.220459
filesystem,write,binfs-fuse,,1048576,,,30,30,0,1759.351958,1876.766375,1940.823292,1774.520751,0.563532,0.563532
filesystem,read,binfs-fuse,,1048576,,,30,30,0,1713.057792,1815.996042,1833.176625,1723.346574,0.580266,0.580266
filesystem,list_directory,binfs-fuse,100,,,,30,30,0,85.469083,90.878458,91.839667,85.985307,11.629894,0.000000
