experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
filesystem,write,native,,4096,,,30,30,0,0.048708,0.075625,0.088625,0.053197,18798.005406,73.429709
filesystem,read,native,,4096,,,30,30,0,0.010167,0.010584,0.011084,0.010194,98093.070705,383.176057
filesystem,write,native,,65536,,,30,30,0,0.055458,0.227958,0.280250,0.074275,13463.492394,841.468275
filesystem,read,native,,65536,,,30,30,0,0.014791,0.015541,0.015667,0.014949,66896.045775,4181.002861
filesystem,write,native,,1048576,,,30,30,0,0.823417,1.167667,16.742834,1.320988,757.009415,757.009415
filesystem,read,native,,1048576,,,30,30,0,0.055375,0.056292,0.057416,0.055515,18013.063073,18013.063073
filesystem,list_directory,native,100,,,,30,30,0,0.047166,0.048417,0.048541,0.047246,21165.872711,0.000000
